## Paste into draw.io: Extras > Insert > Advanced > CSV
## Generated by render.py — regenerate rather than hand-editing.
#
# label: %name%
# style: rounded=1;whiteSpace=wrap;html=1;fillColor=%fill%;strokeColor=#343A40;fontColor=#FFFFFF;
# namespace: pf-
# connect: {"from": "depends_on", "to": "id", "invert": true, "style": "edgeStyle=orthogonalEdgeStyle;rounded=1;html=1;"}
# width: 180
# height: 60
# padding: 12
# nodespacing: 30
# levelspacing: 60
# layout: verticalflow
#
id,name,fill,owner,layer,depends_on
idp,"Internal developer platform",#4C6EF5,PE,platform,""
cicd,"CI/CD & toolchain",#4C6EF5,PE,platform,""
model-access,"Model access & gateway",#4C6EF5,PE,platform,""
ai-sdlc,"AI SDLC",#7048E8,DAE,capability,"idp"
agents,"Agents",#7048E8,DAE,capability,"model-access,guardrails,delivery-teams"
guardrails,"Guardrails",#7048E8,DAE,capability,""
practices,"AI best practices",#7048E8,DAE,capability,""
sdlc-flow,"The flow (golden path)",#0CA678,CD,capability,"cicd,agents,practices"
delivery-teams,"Delivery teams & squads",#D6336C,SE,use,"sdlc-flow,enablement"
ways-of-working,"Ways of working",#868E96,,use,"delivery-teams"
enablement,"Enablement & training",#F59F00,STT,adoption,"adoption-metrics"
adoption-metrics,"Adoption measurement",#F59F00,STT,adoption,"observability"
observability,"Observability",#0CA678,CD,cross-cutting,""
